date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1967-08-23,74.24,Nasdaq Composite,1967,8,23,196708,19673,196734,0.9989235737351991,False,0.043478260869565216,0.5217391304347826,0.0,624.6334491467496,625.1551882771844,211.21739130434784,1.9524783019251006,75.67,False
1967-08-24,73.86,Nasdaq Composite,1967,8,24,196708,19673,196734,0.9948814655172414,False,0.043478260869565216,0.5652173913043478,0.0,621.4362412982076,622.001458689512,211.21739130434784,1.936980814998722,75.67,False
1967-08-25,73.58,Nasdaq Composite,1967,8,25,196708,19673,196734,0.9962090441375575,False,0.043478260869565216,0.6086956521739131,0.0,619.080403936124,619.6890995882978,211.21739130434784,1.925461677038352,75.67,False
1967-08-28,73.56,Nasdaq Composite,1967,8,28,196708,19673,196735,0.999728187007339,True,0.043478260869565216,0.6521739130434783,0.6521739130434783,619.5643037518757,619.5643037518757,211.8695652173913,1.9242723140351203,75.67,False
1967-08-29,73.78,Nasdaq Composite,1967,8,29,196708,19673,196735,1.0029907558455682,False,0.043478260869565216,0.043478260869565216,0.0,621.4172693150269,621.4607475758966,211.8695652173913,1.9326215006659049,75.67,False
1967-08-30,73.95,Nasdaq Composite,1967,8,30,196708,19673,196735,1.0023041474654377,False,0.043478260869565216,0.08695652173913043,0.0,622.8491063410985,622.9360628628376,211.8695652173913,1.9389803991477468,75.67,False
1967-08-31,74.44,Nasdaq Composite,1967,8,31,196708,19673,196735,1.0066260987153481,False,0.043478260869565216,0.13043478260869565,0.0,626.9761660044809,627.1066007870896,211.8695652173913,1.9580500037126871,75.67,False
1967-09-01,74.5,Nasdaq Composite,1967,9,1,196709,19673,196735,1.0008060182697476,False,0.05,0.18043478260869567,0.0,627.4815202489768,627.6619550315855,211.8695652173913,1.9599714927214595,75.67,False
1967-09-05,74.95,Nasdaq Composite,1967,9,5,196709,19673,196736,1.0060402684563758,False,0.05,0.23043478260869565,0.0,631.2716770826954,631.5021118653041,211.8695652173913,1.9773791224201043,75.67,False
1967-09-06,75.12,Nasdaq Composite,1967,9,6,196709,19673,196736,1.0022681787858572,False,0.05,0.28043478260869564,0.0,632.7035141087669,632.9839488913756,211.8695652173913,1.9836622620380653,75.67,False
1967-09-07,75.1,Nasdaq Composite,1967,9,7,196709,19673,196736,0.9997337593184237,False,0.05,0.33043478260869563,0.0,632.5350626939348,632.8654974765435,211.8695652173913,1.9824010248658976,75.67,False
1967-09-08,75.15,Nasdaq Composite,1967,9,8,196709,19673,196736,1.0006657789613849,False,0.05,0.3804347826086957,0.0,632.9561912310148,633.3366260136236,211.8695652173913,1.9839181437626552,75.67,False
1967-09-11,75.33,Nasdaq Composite,1967,9,11,196709,19673,196737,1.0023952095808382,False,0.05,0.43043478260869567,0.0,634.4722539645021,634.9026887471108,211.8695652173913,1.9905920336651475,75.67,False
1967-09-12,75.72,Nasdaq Composite,1967,9,12,196709,19673,196737,1.0051772202309837,False,0.05,0.48043478260869565,0.0,637.757056553725,638.2374913363336,211.8695652173913,2.005592141918218,75.72,True
