horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
8,60,6228,1,1967-01-22,1975-01-22,0.07478084508064575,0.0990884657677285,0.06737779881874206,0.1477417639988716,0.9789050728277248,-0.02714697729735338,-0.033391430346643936,0.006244453049290555
8,60,12456,2,1984-02-10,1992-02-10,0.06980115674373377,0.08286401377814312,0.07265616182074308,0.07809358224125515,0.9802176063303659,0.07311724623553051,0.06685070115570135,0.0062665450798291555
8,60,18684,3,2001-02-28,2009-02-28,0.08276853561376019,0.0999991304335741,0.07612401976672767,0.07321376336151786,0.9791148682247638,-0.04055541694066678,-0.047596018116788485,0.007040601176121708
8,60,24913,4,2018-03-20,2026-03-20,0.07555223972933423,0.10973460529638807,0.07922608711013335,0.11239682175988396,0.9791252485089463,0.05095381805375965,0.044116716620629326,0.0068371014331303215
8,90,0,0,1950-01-03,1958-01-03,0.07816304382461214,0.10885382548756552,0.07863350324854967,0.10303972984719376,0.9643366619115549,0.04881292173417617,0.04299678417013686,0.005816137564039314
8,90,6228,1,1967-01-22,1975-01-22,0.09520586690677124,0.12127151828849664,0.058682422362122955,0.16071411111667955,0.9683576092415871,-0.02545097272660435,-0.03275587823958226,0.007304905512977911
8,90,12456,2,1984-02-10,1992-02-10,0.09981753734750409,0.1282024157999534,0.1092490124171257,0.10236792367314053,0.9698318496538081,0.07453597476026097,0.06592432972504314,0.00861164503521783
8,90,18684,3,2001-02-28,2009-02-28,0.11931874565524958,0.14611945662838868,0.10999394342195479,0.12653036491660868,0.9691695673794132,-0.03781295450452793,-0.047622217401670275,0.009809262897142346
8,90,24913,4,2018-03-20,2026-03-20,0.10990079678486664,0.16357167514784798,0.1181871174212541,0.17470669362041796,0.9691848906560636,0.05229570376174153,0.04267214639407868,0.00962355736766285
8,120,0,0,1950-01-03,1958-01-03,0.10901268643663409,0.17710463609507499,0.11509591133487929,0.18265664212510196,0.9529243937232525,0.04913148202853557,0.04094779840095053,0.008183683627585037
8,120,6228,1,1967-01-22,1975-01-22,0.12008688657060018,0.1555502771579846,0.07143898180378216,0.2102914211850739,0.958312405826218,-0.02435776882952978,-0.03317276999940155,0.008815001169871772
8,120,12456,2,1984-02-10,1992-02-10,0.1167343223038082,0.17745585185059548,0.13333140630941065,0.17145441575696338,0.9594460929772503,0.074715018703849,0.06540733110646868,0.00930768759738032
8,120,18684,3,2001-02-28,2009-02-28,0.14350130932830396,0.1785687427040347,0.12962387546661458,0.18067807941628317,0.9587270014917951,-0.036394152222472775,-0.04756750099978779,0.011173348777315018
8,120,24913,4,2018-03-20,2026-03-20,0.12475870843174652,0.172049083141161,0.12933766385807743,0.130895619784993,0.9592445328031809,0.053800245370257516,0.043739142302194445,0.01006110306806307
9,15,0,0,1950-01-03,1959-01-03,0.017404124062422754,0.028136498477142596,0.017676249005015743,0.0598794414312068,0.9949022939677146,0.06776402206745091,0.06625794568461973,0.0015060763828311785
9,15,6137,1,1966-10-23,1975-10-23,0.02342453438674208,0.026754472138167083,0.01853033365216117,0.031626353790456786,0.9955416852429781,0.0029187611112715395,0.0008475744641829319,0.0020711866470886076
9,15,12274,2,1983-08-12,1992-08-11,0.02344270075504462,0.034071640359770394,0.023855260775468068,0.07215922007977674,0.9956043956043956,0.06570320866170776,0.0635009333501313,0.0022022753115764626
9,15,18411,3,2000-05-31,2009-05-31,0.025784571749128737,0.03388834720413576,0.023038169952526277,0.06233039804211425,0.995579133510168,-0.01877179727064937,-0.021049551662436716,0.0022777543917873455
9,15,24548,4,2017-03-20,2026-03-20,0.02430014259285951,0.03363857619478176,0.02466871275665472,0.05030245155689262,0.9955830388692579,0.046706100402721606,0.04444588491830892,0.0022602154844126865
9,30,0,0,1950-01-03,1959-01-03,0.03129045637069994,0.05630214310028169,0.03288805495627822,0.09531824716721893,0.9893797790994052,0.06901322922390318,0.06644040612081681,0.0025728231030863746
9,30,6137,1,1966-10-23,1975-10-23,0.04294211764125766,0.05702254911110892,0.03335350837693629,0.09562995840953273,0.9910833704859563,0.004321788599796372,0.0006542776468230205,0.003667510952973352
9,30,12274,2,1983-08-12,1992-08-11,0.04104504500748818,0.060270601477537364,0.043327277097312766,0.09772485995211456,0.9912087912087912,0.06710130751709875,0.06342084116774171,0.0036804663493570366
9,30,18411,3,2000-05-31,2009-05-31,0.045414033905574414,0.05984432754372122,0.040307855615462795,0.10163446903459038,0.9907161803713528,-0.017334497832426687,-0.021181691976817962,0.003847194144391275
9,30,24548,4,2017-03-20,2026-03-20,0.040080411448359055,0.06531503311993431,0.04165900012715995,0.10853562058541627,0.991166077738516,0.048019451339976094,0.044512389903599736,0.0035070614363763575
9,45,0,0,1950-01-03,1959-01-03,0.04485984251387021,0.07770564955596412,0.04824117828512087,0.11504880772368996,0.9842820730671198,0.06931126157145417,0.06571864778159764,0.003592613789856536
9,45,6137,1,1966-10-23,1975-10-23,0.05207324307593164,0.05984139177559946,0.04887072571904305,0.0924647866242733,0.9866250557289344,0.0051411750527505795,0.0009983671331608157,0.004142807919589764
9,45,12274,2,1983-08-12,1992-08-11,0.0515549298320126,0.06985057305062606,0.05537077049062478,0.07510830979500038,0.9868131868131869,0.06754312465190626,0.06320267234133548,0.004340452310570786
9,45,18411,3,2000-05-31,2009-05-31,0.06070456408259628,0.08110761678317831,0.055913333537524146,0.1093930715078207,0.9862953138815208,-0.01576715838519349,-0.020715077929378878,0.004947919544185386
9,45,24548,4,2017-03-20,2026-03-20,0.06075286920242662,0.09210854925788604,0.06446268281807921,0.11514742611364966,0.9863074204946997,0.04857195820157778,0.04329851395932938,0.005273444242248404
9,60,0,0,1950-01-03,1959-01-03,0.05546399236991051,0.09944281581465653,0.05852133995272957,0.14886721838569322,0.9791843670348344,0.07059848680908498,0.06636672080734995,0.004231766001735027
9,60,6137,1,1966-10-23,1975-10-23,0.07166900413438437,0.09570564904801993,0.05137082749225397,0.14411529587115948,0.9817209094962104,0.006115615862416268,0.00044292701749282237,0.005672688844923446
9,60,12274,2,1983-08-12,1992-08-11,0.06561842613333435,0.08504963435731105,0.07006501133996856,0.11382195991084297,0.9824175824175824,0.06864414097743143,0.06328949154787722,0.005354649429554215
9,60,18411,3,2000-05-31,2009-05-31,0.07714544473721885,0.10536710607143507,0.06837353470949403,0.1415181511129555,0.9814323607427056,-0.014815522306753315,-0.020926922105299894,0.0061113997985465796
9,60,24548,4,2017-03-20,2026-03-20,0.07111935772325517,0.11579180782958493,0.07755189214008018,0.14158830255907853,0.9814487632508834,0.05016785641503052,0.044308118849166744,0.005859737565863776
9,90,0,0,1950-01-03,1959-01-03,0.07341641604316917,0.10506932234793666,0.07676207537497848,0.09780269215638485,0.9681393372982158,0.07127145957516645,0.0661104016111913,0.005161057963975146
9,90,6137,1,1966-10-23,1975-10-23,0.09275951552424844,0.12026692141218513,0.06511420146478253,0.15591632667330696,0.9728042799821668,0.007482451877600216,0.0006403010161906142,0.006842150861409602
9,90,12274,2,1983-08-12,1992-08-11,0.08615761476282358,0.10094818983737695,0.09435086657082126,0.06876341055619209,0.9727472527472527,0.07001875765406362,0.06346996677834627,0.0065487908757173585
9,90,18411,3,2000-05-31,2009-05-31,0.1100513852020133,0.1379568406223594,0.09358349464686544,0.15444202930746911,0.9725906277630415,-0.013094738252519833,-0.021508776074694813,0.00841403782217498
9,90,24548,4,2017-03-20,2026-03-20,0.09871097151437924,0.1521881991016505,0.10416151455561362,0.16978136862796092,0.9721731448763251,0.05093616593683148,0.04317128015783789,0.007764885778993591
9,120,0,0,1950-01-03,1959-01-03,0.10270958793365059,0.16894911097283286,0.10901268643663431,0.1737403061052355,0.9579439252336449,0.07147319147584597,0.06418515204244168,0.007288039433404281
9,120,6137,1,1966-10-23,1975-10-23,0.11527944251783984,0.16091769683523796,0.11591352450979975,0.20863410825409145,0.9638876504681231,0.008957258705301285,0.0008327247379027458,0.00812453396739854
9,120,12274,2,1983-08-12,1992-08-11,0.1123553213185211,0.1357843770045648,0.12359954800248407,0.07832507856794639,0.9635164835164836,0.07042244675834053,0.06211538117120097,0.008307065587139562
9,120,18411,3,2000-05-31,2009-05-31,0.13820127245870362,0.18362234485797713,0.12098076101783484,0.19172761026834972,0.9633068081343943,-0.011241980702719312,-0.02142233779483471,0.0101803570921154
9,120,24548,4,2017-03-20,2026-03-20,0.11655400208801758,0.19097318455469395,0.12302913103645396,0.20025100983505387,0.9637809187279152,0.05243748407881044,0.04383290921039751,0.008604574868412929
