date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1968-12-19,106.97,S&P 500,1968,12,19,196812,19684,196851,1.0029064316519782,False,0.05555555555555555,0.611111111111111,0.0,566.0236238593716,566.6347349704827,227.0,1.4894862654304828
1968-12-20,106.34,S&P 500,1968,12,20,196812,19684,196851,0.9941104982705432,False,0.05555555555555555,0.6666666666666666,0.0,562.6900267477384,563.3566934144051,227.0,1.474480351747021
1968-12-23,105.21,S&P 500,1968,12,23,196812,19684,196852,0.9893737069776188,False,0.05555555555555555,0.7222222222222222,0.0,556.7107176427455,557.4329398649677,227.0,1.4478636051645322
1968-12-24,105.04,S&P 500,1968,12,24,196812,19684,196852,0.9983841840129266,False,0.05555555555555555,0.7777777777777777,0.0,555.8111755650032,556.588953342781,227.0,1.4435612585780628
1968-12-26,105.15,S&P 500,1968,12,26,196812,19684,196852,1.001047220106626,False,0.05555555555555555,0.8333333333333333,0.0,556.3932322035423,557.2265655368757,227.0,1.445764003819498
1968-12-27,104.74,S&P 500,1968,12,27,196812,19684,196852,0.9961008083689966,False,0.05555555555555555,0.8888888888888888,0.0,554.2237483689873,555.1126372578763,227.0,1.4358916310682042
1968-12-30,103.8,S&P 500,1968,12,30,196812,19684,196901,0.9910253962192095,False,0.05555555555555555,0.9444444444444444,0.0,549.2498098214712,550.1942542659157,227.0,1.4137208327532247
1968-12-31,103.86,S&P 500,1968,12,31,196812,19684,196901,1.000578034682081,True,0.05555555555555555,1.0,1.0,550.5672952606743,550.5672952606743,228.0,1.4147688388626065
1969-01-02,103.93,S&P 500,1969,1,2,196901,19691,196901,1.000673984209513,False,0.045454545454545456,0.045454545454545456,0.0,550.9383689239543,550.9838234694088,228.0,1.4161140355445472
1969-01-03,103.99,S&P 500,1969,1,3,196901,19691,196901,1.0005773116520733,False,0.045454545454545456,0.09090909090909091,0.0,551.2564320639084,551.3473411548175,228.0,1.417226286449977
1969-01-06,102.47,S&P 500,1969,1,6,196901,19691,196902,0.9853832099240312,False,0.045454545454545456,0.13636363636363635,0.0,543.1988325184027,543.3351961547663,228.0,1.3816246892617774
1969-01-07,101.22,S&P 500,1969,1,7,196901,19691,196902,0.9878013076998146,False,0.045454545454545456,0.18181818181818182,0.0,536.5725171026907,536.7543352845088,228.0,1.3523098359082057
1969-01-08,100.8,S&P 500,1969,1,8,196901,19691,196902,0.995850622406639,False,0.045454545454545456,0.2272727272727273,0.0,534.3460751230115,534.5733478502842,228.0,1.342285132982723
1969-01-09,101.22,S&P 500,1969,1,9,196901,19691,196902,1.0041666666666667,False,0.045454545454545456,0.2727272727272727,0.0,536.5725171026907,536.8452443754179,228.0,1.3517712816127427
1969-01-10,100.93,S&P 500,1969,1,10,196901,19691,196902,0.997134953566489,False,0.045454545454545456,0.3181818181818182,0.0,535.0352119262456,535.3533937444274,228.0,1.34476899509803
1969-01-13,100.44,S&P 500,1969,1,13,196901,19691,196903,0.9951451501040324,False,0.045454545454545456,0.36363636363636365,0.0,532.4376962832864,532.8013326469228,228.0,1.3331268547436905
1969-01-14,101.13,S&P 500,1969,1,14,196901,19691,196903,1.0068697729988052,False,0.045454545454545456,0.4090909090909091,0.0,536.0954223927592,536.5045133018501,228.0,1.348875481122528
1969-01-15,101.62,S&P 500,1969,1,15,196901,19691,196903,1.0048452486898052,False,0.045454545454545456,0.4545454545454546,0.0,538.6929380357184,539.1474834902639,228.0,1.359977046714247
1969-01-16,102.18,S&P 500,1969,1,16,196901,19691,196903,1.0055107262349932,False,0.045454545454545456,0.5,0.0,541.6615273419574,542.1615273419574,228.0,1.3726981502930302
1969-01-17,102.03,S&P 500,1969,1,17,196901,19691,196903,0.9985320023487961,False,0.045454545454545456,0.5454545454545454,0.0,540.8663694920718,541.4118240375263,228.0,1.368945928565151
1969-01-20,101.69,S&P 500,1969,1,20,196901,19691,196904,0.9966676467705576,False,0.045454545454545456,0.5909090909090909,0.0,539.0640116989982,539.6549207899074,228.0,1.3607890748415117
1969-01-21,101.63,S&P 500,1969,1,21,196901,19691,196904,0.999409971481955,False,0.045454545454545456,0.6363636363636364,0.0,538.745948559044,539.3823121954076,228.0,1.3591274092045662
1969-01-22,101.98,S&P 500,1969,1,22,196901,19691,196904,1.003443865000492,False,0.045454545454545456,0.6818181818181819,0.0,540.6013168754434,541.2831350572616,228.0,1.366970576676556
1969-01-23,102.43,S&P 500,1969,1,23,196901,19691,196904,1.0044126299274367,False,0.045454545454545456,0.7272727272727273,0.0,542.9867904250997,543.7140631523724,228.0,1.377128257025476
1969-01-24,102.38,S&P 500,1969,1,24,196901,19691,196904,0.9995118617592501,False,0.045454545454545456,0.7727272727272727,0.0,542.7217378084712,543.4944650811984,228.0,1.375696052411358
1969-01-27,102.4,S&P 500,1969,1,27,196901,19691,196905,1.0001953506544248,False,0.045454545454545456,0.8181818181818182,0.0,542.8277588551225,543.6459406733044,228.0,1.3758861133914775
1969-01-28,102.41,S&P 500,1969,1,28,196901,19691,196905,1.00009765625,False,0.045454545454545456,0.8636363636363636,0.0,542.8807693784481,543.7444057420845,228.0,1.3758444739475388
1969-01-29,102.51,S&P 500,1969,1,29,196901,19691,196905,1.0009764671418808,False,0.045454545454545456,0.9090909090909092,0.0,543.4108746117053,544.3199655207961,228.0,1.3778870614490697
1969-01-30,102.55,S&P 500,1969,1,30,196901,19691,196905,1.0003902058335772,False,0.045454545454545456,0.9545454545454546,0.0,543.622916705008,544.5774621595535,228.0,1.3785396401648158
1969-01-31,103.01,S&P 500,1969,1,31,196901,19691,196905,1.0044856167723062,True,0.045454545454545456,1.0,1.0,547.06140077799,547.06140077799,229.0,1.3889144138776857
1969-02-03,102.89,S&P 500,1969,2,3,196902,19691,196906,0.9988350645568391,False,0.05555555555555555,0.05555555555555555,0.0,546.4241095626385,546.479665118194,229.0,1.3857952879280848
1969-02-04,102.92,S&P 500,1969,2,4,196902,19691,196906,1.0002915735251239,False,0.05555555555555555,0.1111111111111111,0.0,546.5834323664764,546.6945434775874,229.0,1.3861546514540675
1969-02-05,103.2,S&P 500,1969,2,5,196902,19691,196906,1.002720559657987,False,0.05555555555555555,0.16666666666666666,0.0,548.0704452022966,548.2371118689632,229.0,1.3923073972463849
1969-02-06,103.54,S&P 500,1969,2,6,196902,19691,196906,1.003294573643411,False,0.05555555555555555,0.2222222222222222,0.0,549.8761036457926,550.0983258680147,229.0,1.399847277175052
